PRACTICE_ID,STATE,NUM_EPS_VM,GPRO,ELIG_UP_ADJUST,CATEGORY,VM_PAYMENT_ADJ,UPDATED_VM,COST_COMP_TIER_TEXT,QUAL_COMP_TIER_TEXT,ZB_COST_CMPSCR_POOL_RND,ZB_QUAL_CMPSCR_POOL_RND
19422389906,AZ,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19426532893,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.38,1.06
19427517652,CA,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.65,0.16
19457460241,OH,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.59,.
19474560134,GA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.11,-0.09
19496640891,PA,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-1.38,-0.60
19508208453,ME,100+ EPs,0,Not Eligible,CAT1,1.0xAF,.,Low,Average,-1.40,0.68
19527046028,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.30,0.89
19538911404,NC,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.36,0.58
19550413312,MI,100+ EPs,0,N/A,CAT2,-1.0%,0.0,N/A,N/A,-0.01,.
19580090851,NY,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.21,-1.09
19580531097,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.08,0.04
19582009504,OH,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.26,.
19589802564,CA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19599388397,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.80,.
19602609695,TX,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19617070679,FL,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.21,.
19617539357,NC,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.10,-0.62
19624042797,MA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.16,.
19636782899,MA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-1.26,-1.12
19651962250,WV,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.16,.
19657677051,FL,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
19681670237,WI,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.14,0.30
19696489134,FL,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,0.21,0.06
19707059166,IL,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,0.07,0.19
19728653663,ND,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.19,0.76
19737319769,CT,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.07,0.07
19737972496,MD,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19747130025,MI,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.09,-0.98
19749794406,IA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.25,.
19755617743,OH,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.01,-0.36
19767093150,SC,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.50,.
19809382923,MI,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.44,.
19831321006,IL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19845771223,WI,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.14,0.63
19871364561,WA,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.89,-0.19
19874732436,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.09,0.51
19895119091,OK,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19915733071,PA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.42,.
19922608009,KY,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.18,-0.97
19954570732,CA,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.22,0.69
19957383349,TX,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.10,-2.04
19983301777,NC,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.12,0.75
19988439446,NC,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
19995860497,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.06,.
